"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15016","debería abrir la aplicación correctamente","App - Arranque","2026-06-22","passed","2026-06-22","","","",""
"","4456","debería renderizar contenido en pantalla","App - Pantalla inicial","2026-06-22","passed","2026-06-22","","","",""
"","17256","debería encontrar un elemento que NO existe (falla a propósito)","App - Demo de fallo","2026-06-22","broken","2026-06-22","","","",""
